merchandise_id,merchandise_name,merchandise_description,merchandise_price,merchandise_quantity,category_id,manufacturer_id
1,professional,Less Democrat way official.,908.64,45,11,160
2,process,Effect toward hour choice debate.,753.4,34,104,107
3,education,Itself somebody most study which threat affect.,280.78,29,89,56
4,what,Draw return analysis nature.,949.83,86,67,23
5,marriage,Two wish here list manage only.,143.44,53,159,172
6,bank,Party seem me choose begin try community.,341.21,93,107,4
7,ahead,Before cultural minute enter wait.,98.85,57,103,153
8,run,Improve knowledge man chance check.,679.35,49,171,131
9,four,Car finish body throughout.,54.57,96,48,152
10,relationship,Live both service walk process.,534.34,69,171,43
11,see,Sport everybody resource study.,166.33,60,45,156
12,machine,Again them it bed administration others figure.,487.13,50,156,19
13,film,Big become society. Chair total thank success.,436.94,25,100,53
14,admit,Pass likely make tax listen treatment.,333.69,86,98,62
15,city,Fly large recently central you.,291.89,89,118,107
16,project,My interest entire.,766.69,28,66,131
17,camera,House another it public pattern cup ground.,191.03,10,147,105
18,color,While heart quickly economic stay price.,75.97,87,172,142
19,pattern,High why world idea letter past.,652.47,53,108,9
20,keep,Law section threat.,655.46,67,140,26
21,spring,Six economic behind spend lay large.,920.7,95,101,82
22,program,Allow they no respond special total.,661.36,64,184,175
23,two,Even really ago vote.,258.92,97,84,114
24,human,Foreign side whom stay bring pretty through.,533.87,64,176,11
25,once,Work color avoid between realize wide drive TV.,340.79,6,51,185
26,wait,Environment affect look here.,162.43,20,30,160
27,former,Never Republican sister why poor.,336.14,13,22,108
28,collection,Compare crime campaign environment toward.,891.82,36,78,62
29,defense,Occur fast run several girl note.,444.84,57,38,199
30,book,Mrs college people article nice picture.,423.49,73,51,166
31,about,Water outside trip cultural face necessary.,732.06,70,54,183
32,statement,Finally will never activity.,166.41,33,145,21
33,indicate,Company pick alone dog arrive.,993.1,87,200,102
34,success,Reach determine region know itself top.,942.53,5,35,153
35,town,Option itself get item example wrong man artist.,423.4,13,140,150
36,cause,Best policy wife entire. Drive doctor blood.,249.0,46,32,19
37,able,Tend cell respond see south.,409.83,11,33,101
38,identify,Growth Congress each key. Lot about wall coach.,857.59,20,179,43
39,explain,Town class condition drop carry move.,396.02,74,28,55
40,unit,Force billion next direction significant system.,777.34,31,107,95
41,yes,Just stuff fact often life positive.,947.22,0,33,85
42,high,Work whole hotel make.,928.8,56,151,7
43,agree,Certainly attention people anything somebody.,718.42,56,146,137
44,health,Type speak world social answer.,875.6,60,70,182
45,item,Include especially blue Congress.,599.33,78,152,189
46,PM,Executive his than teach ball.,28.13,44,129,15
47,win,Determine however say.,574.9,70,11,36
48,hotel,Mind government least east. Fact push student.,475.37,0,102,55
49,participant,Act fly really stage.,61.7,66,169,123
50,never,Company participant enough away body heart.,571.73,76,164,26
51,investment,Break economy service purpose put well land.,887.62,66,60,76
52,education,Father model front seat draw eat.,829.46,52,121,107
53,war,Both project article recent oil billion space.,761.36,99,165,114
54,wife,No range organization down good partner may.,551.2,80,170,69
55,final,Method close find great meet entire.,848.88,99,23,168
56,film,College she feel better shoulder production.,25.26,20,1,176
57,watch,Eight we address clear focus painting represent.,36.67,48,32,23
58,eat,Heavy describe amount baby.,636.34,3,10,35
59,remain,Camera project space white bar cell eye.,15.32,65,96,11
60,school,Those he another later Mr most gas.,864.05,71,155,78
61,bad,Picture official minute summer.,823.4,84,41,57
62,either,Purpose your be daughter if financial ability.,394.99,87,23,64
63,nation,Just party or sign some believe.,936.07,57,115,138
64,cold,Whatever station risk partner.,33.95,28,100,90
65,adult,Pick foot wish industry.,773.41,2,135,135
66,foreign,Follow life inside. Avoid manager base sound.,487.87,48,108,86
67,learn,Government according side make.,325.46,42,193,37
68,enter,Friend game home book themselves.,77.6,30,27,90
69,floor,Center bad catch meet performance fall see.,909.64,96,163,178
70,say,All school our herself future PM.,985.62,43,129,68
71,if,Activity body free police seat five.,408.65,93,93,121
72,eight,Wide off you. Late attack true wrong.,591.52,54,123,166
73,receive,Create get imagine kitchen third way.,528.28,100,131,188
74,go,Early guess ready land focus.,453.19,75,39,195
75,now,One write play majority such home eat.,850.82,100,65,147
76,nothing,Decide relate though stand quickly table surface.,496.2,91,24,74
77,year,Few here matter whose build yeah enough.,419.76,28,159,191
78,fast,Audience network protect war question.,358.25,15,19,158
79,natural,Season size expect require more former measure.,769.66,79,162,49
80,inside,Threat everybody too hear move budget travel.,487.22,46,92,70
81,hear,Sense reality fund.,364.99,100,148,54
82,my,Quality forget education.,309.36,83,146,193
83,involve,Then production former push local then.,900.6,96,6,84
84,require,Enjoy car hand.,975.45,82,140,188
85,history,Have look ground guess really impact head.,791.68,46,18,21
86,air,Exist fact impact next. Wide let news.,347.51,41,52,193
87,article,Middle pressure court player soon special.,598.19,90,56,13
88,off,Eat focus six main your.,533.68,1,109,59
89,price,Talk teach race write lead off.,971.56,39,176,16
90,view,Natural spend gas require guess probably.,964.92,60,80,159
91,western,Line source pull position particular tree.,38.16,36,140,196
92,to,Always young the assume ability.,831.11,37,38,82
93,present,Between meeting dog community.,494.91,24,118,190
94,she,Remain sound beyond key war say skin wide.,653.12,86,48,149
95,defense,Despite explain often former well pass.,370.44,17,180,11
96,move,Contain sit energy detail. Plan huge major smile.,387.14,23,85,146
97,prove,Successful sometimes government family.,358.0,32,185,13
98,go,Director investment truth bill reality same.,236.72,96,14,56
99,hour,Itself dog water performance find question.,809.17,90,69,73
100,now,Suggest hair song safe cost.,304.69,43,9,45
101,reality,Up me not where country democratic.,592.65,46,20,172
102,voice,Now build who avoid respond professional.,831.18,65,73,174
103,indicate,What Democrat huge surface alone.,642.55,50,98,106
104,customer,Cut daughter sure cultural front.,656.25,4,71,99
105,office,Ready building pressure off back else.,885.91,6,59,128
106,man,Free professional level off.,177.62,60,15,8
107,weight,Act pattern any none TV all could exist.,467.37,98,8,50
108,significant,Moment include tend others shake lay.,610.42,34,193,194
109,cold,Memory cover threat exist behind common.,724.97,84,142,198
110,certainly,Economy quite report law happy.,290.55,59,133,63
111,person,Performance almost human.,84.6,82,181,168
112,late,Court company old dinner western because.,368.62,61,139,121
113,major,Section charge total staff PM know body hour.,493.62,7,157,35
114,forward,Window future participant note do pattern step.,155.63,27,116,171
115,success,Successful next can.,278.5,21,164,128
116,parent,Less rise either notice avoid.,18.71,20,33,90
117,success,Probably director skill land per.,528.18,77,155,159
118,treat,Dog sit area claim effort buy professional.,434.34,11,6,92
119,financial,Head arrive send their notice section foreign.,332.3,0,43,69
120,community,War positive brother same seven.,430.63,14,24,132
121,assume,Cause figure friend coach drug training new pick.,697.24,95,40,197
122,seven,Charge our when the field fish public.,640.9,33,150,180
123,property,Political again everyone.,277.83,45,151,109
124,strong,Him someone herself.,41.0,6,120,113
125,boy,Not community represent social buy rate.,607.81,25,64,70
126,maintain,Challenge dog production visit.,153.79,85,47,39
127,value,Red trial quality challenge maintain put end.,974.45,72,145,190
128,again,That someone energy so heavy white.,500.3,89,114,39
129,majority,Issue parent author anything fund.,698.8,61,21,166
130,foot,Us tonight ball different manager.,564.93,100,166,122
131,financial,Doctor job practice financial.,193.93,49,147,40
132,star,Food service quite dog change for.,478.21,66,163,76
133,crime,Sort ahead range trial claim operation because.,653.53,53,30,117
134,budget,Deep trip month.,323.99,99,89,118
135,detail,Capital ten leave star range religious.,985.3,9,120,25
136,on,Learn table parent design indicate.,822.72,24,113,119
137,among,Five front beat administration author husband.,10.68,13,3,161
138,data,Wonder quickly never Mrs law.,908.74,15,126,83
139,head,Least per picture relate dinner senior artist.,247.08,15,137,165
140,base,Smile four specific safe almost.,905.59,1,34,61
141,loss,Read management adult others push serious.,547.34,99,138,57
142,job,Around expect last school either.,938.63,25,28,152
143,themselves,Carry poor perhaps against full.,569.33,76,69,36
144,yeah,Else trial operation third seven.,703.46,43,18,185
145,hundred,Professional every religious.,929.26,48,27,192
146,very,Soldier development his hotel if.,790.42,3,52,5
147,various,Plan age follow provide around fund.,821.27,50,193,54
148,plan,Those impact although chair star player.,509.45,45,37,114
149,large,Claim easy big source investment necessary.,944.25,92,7,149
150,eat,Occur daughter face number decade protect upon.,442.18,27,164,189
151,teach,Letter believe herself class.,938.0,86,198,137
152,short,Garden environmental cup challenge.,987.63,7,35,27
153,building,Until clearly perform between concern hotel.,955.83,75,154,155
154,civil,Put benefit true fill environment.,964.58,92,189,64
155,could,Science kid computer sign painting account man.,556.2,22,22,133
156,sign,Purpose whom threat hundred school worry.,189.26,91,144,26
157,fish,Theory remain agreement.,475.41,40,144,47
158,what,Five relate ask participant choice.,524.23,83,26,105
159,mind,End maybe find more serious price.,213.86,98,71,148
160,enough,Difference fine beautiful born.,698.06,18,187,43
161,coach,Mind produce lead. Mouth quality although rock.,200.51,98,175,146
162,south,Imagine quickly have part explain production.,484.73,17,154,184
163,community,Talk none kid at shake. Race floor whose really.,396.99,2,83,168
164,mind,Inside until tonight kind cost bill.,228.61,3,150,155
165,office,Recognize huge program figure fine guess.,568.39,75,91,50
166,practice,Heavy work down game likely.,659.21,59,191,124
167,data,Claim throw in call simply.,760.43,91,171,142
168,yard,Item administration well current.,352.38,36,102,50
169,enjoy,Discover black vote issue.,56.31,71,96,78
170,station,Bit billion out green peace young account.,677.15,54,171,192
171,company,Message power case break. To forward on control.,998.12,77,175,145
172,air,Soldier explain method back involve.,273.52,29,174,197
173,language,Experience try bag everybody.,7.37,1,172,26
174,commercial,Compare federal how third reality off.,303.15,81,52,172
175,point,Continue course record east those bed item.,581.13,18,58,30
176,exactly,Build investment hold. Yeah kitchen ok case.,618.59,89,143,184
177,second,Create large any put center.,420.51,99,121,168
178,Mr,Pull stuff attorney middle hour figure.,751.57,92,43,165
179,tell,Can thousand reality above.,692.24,56,171,200
180,Mrs,Same nature floor member girl past.,170.46,47,61,170
181,mission,Daughter next race.,775.05,1,191,154
182,whether,Window like action lay.,327.65,23,186,67
183,situation,These condition capital since police yeah.,666.61,33,32,52
184,whole,Religious staff build.,916.51,57,57,152
185,movement,Last woman these successful range when down.,88.54,17,151,94
186,knowledge,Support describe special environment.,942.17,92,102,97
187,couple,Staff test attorney budget school.,177.91,0,173,10
188,present,Like just particular possible close above.,73.76,54,31,148
189,leave,Car yes scientist lead staff near him.,239.38,100,125,96
190,order,Drive fill per situation water arm.,829.68,56,1,77
191,better,Study brother here player thousand expect window.,401.52,99,1,111
192,half,Ability garden popular change hair.,147.55,48,66,101
193,open,Market fish Mrs myself.,400.05,95,182,1
194,instead,Mother trial throughout community catch.,623.94,70,143,165
195,success,Section analysis almost analysis identify window.,386.11,29,137,171
196,affect,Season test direction.,434.58,38,31,39
197,rather,Unit type company.,842.33,4,49,190
198,between,Service mean identify.,405.0,6,153,30
199,consumer,Professor indeed assume.,783.62,99,19,124
200,size,Cell mission senior value instead item the who.,10.13,58,97,179
201,order,Crime line debate event far time.,530.89,0,77,98
202,trade,Others thus show generation live what too.,408.16,68,163,24
203,might,Poor office federal give difference spend.,701.79,35,79,38
204,responsibility,Poor religious seven foot.,440.5,96,127,105
205,big,Study brother upon her mind sea.,594.66,44,139,121
206,debate,Tree direction international believe long.,149.26,73,80,187
207,consider,Describe conference talk ever real own.,801.3,66,193,163
208,business,Chair officer land alone. Seven industry through.,316.61,56,186,79
209,TV,Think body piece present. Know bad about.,100.16,82,91,147
210,summer,Face face fire that finally.,645.94,32,70,80
211,everything,Significant its herself recent school.,337.22,49,20,33
212,itself,Majority do between walk.,732.78,69,74,198
213,structure,Fear way citizen whole article pretty.,342.53,8,95,54
214,role,Stuff alone those stuff factor across bad.,542.26,17,188,93
215,prevent,Deal seat build possible call get carry.,923.1,80,89,69
216,car,Wonder technology lot him raise win apply lay.,852.62,61,85,83
217,story,Mission remain just couple memory foot.,264.16,36,39,156
218,sit,Imagine sister rock ago thank accept.,358.81,13,9,86
219,night,Fire nature threat deep local kid.,386.77,51,16,175
220,standard,Show never future song decide.,275.89,65,153,28
221,certain,Life threat car land leg.,445.09,41,114,158
222,admit,Others memory ready enough game.,351.59,4,9,15
223,enter,Under today answer else.,848.92,11,11,107
224,loss,Page hold attention. Price that price.,13.86,16,93,164
225,class,Stuff fish enjoy break beat article oil.,948.72,62,63,23
226,foreign,Money attention including set.,214.74,3,16,21
227,lawyer,Five beautiful perform. Until more moment.,623.64,67,43,176
228,against,Onto open field fear.,795.72,57,179,193
229,officer,Quality remain contain girl.,462.24,76,189,14
230,report,Wide child knowledge attorney research marriage.,679.18,5,57,133
231,control,Hand can appear mention Democrat.,630.42,42,13,70
232,alone,Which call Republican discover be also.,314.27,7,146,165
233,beat,Moment piece two service.,948.09,64,37,150
234,class,Each whose white dinner water series surface.,923.33,58,147,151
235,popular,Gun relationship source thus soldier.,346.39,79,41,142
236,use,Piece manager rise degree.,578.59,73,151,31
237,production,Agent decade authority. Some medical other risk.,202.57,38,78,154
238,in,Feeling police compare.,354.71,96,47,51
239,since,Natural government production rather.,427.7,66,181,60
240,rich,No series himself arm.,822.76,2,85,36
241,affect,Show reality build result stay tend our mind.,820.79,46,20,30
242,special,Standard suggest without eight.,268.74,81,149,77
243,finish,Do can image. Will collection thus agreement box.,495.79,38,184,72
244,break,Necessary soon question.,951.08,100,92,97
245,before,Method board thus without hour.,112.51,79,186,98
246,wear,Admit soldier nice reveal less require value.,293.83,28,40,19
247,matter,Relationship laugh born see central ask real.,574.16,68,132,178
248,Mrs,Thus word moment possible now draw.,698.2,42,58,37
249,film,Age fine radio party. Help personal happy since.,877.73,5,138,43
250,style,Fly huge rest. Increase detail tell health.,154.38,100,172,38
251,gun,Visit plan example win bill.,974.25,16,52,92
252,current,Worry everything I room call.,200.01,78,155,79
253,first,Happen rich apply modern town suffer reach once.,324.1,18,102,197
254,off,Campaign box mission challenge hand.,225.27,61,109,13
255,study,Seek computer small official.,651.43,82,99,120
256,social,Morning risk cold not those above street stage.,376.87,19,102,25
257,single,Much although success reach.,111.18,76,180,116
258,best,Foot race house there bring available.,152.42,12,154,146
259,want,Street east name money.,94.6,73,141,1
260,student,Attention good in chance south add.,127.31,0,162,146
261,begin,Technology yard risk against front.,342.82,38,94,24
262,region,Hear why ground manager ok on significant.,302.63,38,165,18
263,us,Computer paper about itself place feeling.,992.83,25,159,198
264,staff,Decide every camera. Instead those bed.,216.78,63,60,5
265,daughter,Last study clearly send watch.,511.36,18,124,191
266,then,Realize share few indeed hear become.,561.2,34,122,185
267,lead,Late again ahead money.,427.5,46,131,113
268,medical,Glass take together might agent.,154.87,57,183,26
269,beyond,Produce social he yeah bring.,326.88,43,118,139
270,wind,Total board loss less former.,811.18,19,151,71
271,success,Carry about individual south increase my.,808.52,94,72,125
272,agency,Pressure agreement try why chair give.,408.66,58,100,177
273,because,Down attack last fact listen.,183.12,37,11,72
274,station,Listen various boy could factor fast.,211.74,82,148,29
275,central,Economy western result green single red.,177.23,1,34,197
276,report,Listen along street still role grow stuff.,793.27,50,174,43
277,mention,Safe example goal. Those fact together picture.,843.1,17,190,16
278,believe,Structure eye prevent stage game dream.,139.61,22,177,187
279,measure,Morning example trade here nothing must even.,372.26,76,37,200
280,defense,Deal no decide including art professor.,149.5,6,155,152
281,maybe,Animal subject prove act tend then play.,473.92,43,81,133
282,federal,Point stay drop outside.,468.91,65,111,136
283,decision,Left peace city land rich series.,611.03,76,16,78
284,above,Item on field recent.,893.95,90,75,144
285,career,Word area little sort bank.,57.66,24,109,65
286,color,Build financial out student.,431.8,34,116,22
287,collection,Rock military affect whose run.,74.9,47,87,51
288,ahead,Help occur east everything develop.,103.1,85,9,12
289,fear,Alone build prepare forward anyone need.,672.48,68,149,11
290,play,Back especially official morning career.,75.81,72,159,178
291,decide,Run look gas show report bill.,829.78,8,110,130
292,blue,You community eight once.,880.55,94,171,134
293,nor,Public green condition similar.,286.19,46,157,28
294,our,Occur while leg camera.,194.88,31,31,21
295,doctor,Interview play my admit other study.,655.4,95,42,154
296,shake,Free one court on.,429.96,18,167,77
297,read,Room stand majority line road food reality set.,435.06,30,79,61
298,movie,Event need wish answer. Fear white edge send.,770.16,62,137,76
299,account,Affect edge six individual.,404.41,37,160,59
300,sure,State will deal idea wonder.,558.77,56,33,3
301,everything,Evening official well year.,187.21,57,155,57
302,technology,His country order alone among decide return.,463.25,65,196,181
303,idea,Land market quickly suffer answer yard enough.,418.0,3,143,190
304,blue,Section important attorney fly big might.,362.51,22,70,125
305,executive,Few relationship again leg no skin voice.,981.78,94,18,195
306,all,Information magazine enough.,827.32,42,180,50
307,exist,Smile page someone half theory stuff spring.,845.47,61,130,134
308,network,Just leg force drive.,662.05,27,55,191
309,trade,Go several include dream people their.,995.22,40,168,92
310,member,Yet protect art.,933.89,29,79,69
311,character,Trade environmental process scientist threat.,119.78,46,12,43
312,week,Truth you where.,158.69,77,87,42
313,child,However theory go arrive difference.,14.34,75,144,163
314,style,Sing card alone memory member.,103.57,11,88,59
315,activity,Particular standard in yourself mother including.,522.77,65,64,11
316,even,Month late inside candidate line.,485.97,84,89,96
317,sometimes,Politics sell beautiful author.,978.44,85,101,80
318,trial,Include cultural firm spring hold way.,77.55,48,37,77
319,green,Line walk bed respond reduce.,40.14,49,39,64
320,attack,Public plan anything while six people operation.,670.3,88,145,34
321,two,Traditional she mean main join money beautiful.,279.95,56,163,90
322,tree,There situation six everybody head.,598.14,2,69,124
323,carry,Hour use me today travel create.,98.98,67,70,115
324,partner,Partner worker around full dog land talk.,544.89,98,65,76
325,design,Player next next. Once sport about choice.,46.51,100,101,42
326,upon,Control east choice whose black.,462.7,87,122,78
327,theory,Know Congress laugh book sit these.,841.57,83,135,93
328,fill,Try pull professor continue modern doctor.,281.93,88,63,137
329,main,Message money blue pick.,459.49,61,70,15
330,tend,Behind reflect find if child land keep.,499.15,54,11,166
331,and,Store marriage mouth themselves once military.,813.77,100,117,125
332,significant,But open choice address seven church world.,186.06,10,56,98
333,better,One military natural how hold skill so.,493.06,90,110,47
334,family,Growth student accept consider.,519.55,77,190,163
335,interview,Type me both home range film open look.,728.55,45,46,78
336,painting,Mission for rise may race.,811.94,30,140,142
337,wish,Fight create true the suddenly top history.,867.77,12,75,80
338,look,Return phone fear your baby.,947.06,66,170,85
339,image,Back cultural dark bank economic.,860.93,79,8,88
340,try,Central chair city movement summer similar.,489.5,1,75,43
341,actually,Fish bed we real believe although must president.,800.49,46,191,119
342,new,Worry employee address treatment easy.,77.1,8,37,52
343,organization,Note final identify chair.,965.87,87,133,197
344,response,Cold thousand fill also tell.,135.42,74,134,46
345,phone,Move charge left campaign.,415.06,50,158,200
346,I,Ever body trouble grow suggest hour.,923.39,8,123,123
347,here,Ask ago week simply.,407.72,43,25,181
348,age,Dream time him result ready positive note.,695.67,63,30,9
349,go,Hard which then.,667.5,4,5,130
350,heart,Decide nor price hour maybe.,194.66,64,188,149
351,term,War interesting face drop our.,390.83,59,193,121
352,write,Writer back issue maybe ahead.,594.11,12,169,136
353,stop,Ahead forget maybe finally home.,274.7,0,135,196
354,it,Usually must boy in.,94.64,34,100,34
355,series,Condition form time turn.,986.35,57,187,13
356,attention,Daughter figure deal course teacher red.,370.12,82,187,66
357,full,Back her stuff country more indeed sometimes.,361.68,52,7,35
358,general,Seek those assume or.,64.4,17,10,55
359,various,Deal list experience grow where modern.,289.34,22,162,120
360,marriage,Education enter research goal.,450.04,43,94,181
361,benefit,Field scene follow at would professor.,657.56,97,166,100
362,affect,Government reveal most room black toward certain.,999.92,40,139,172
363,describe,Write time news present specific development.,303.93,77,91,117
364,remain,Perform choose rise itself have modern along.,491.06,74,119,107
365,power,Way wide cut then.,283.2,28,16,47
366,project,Car act method according.,343.6,13,34,24
367,thus,Next sister base begin. Media option population.,435.35,50,190,57
368,design,Return industry everybody finish half.,354.65,19,144,38
369,together,On citizen quickly specific foot friend.,168.14,57,167,122
370,paper,Day environment base.,526.44,67,125,43
371,dinner,Statement husband material its.,577.29,65,141,62
372,easy,Treat alone off PM risk they century.,399.83,58,106,63
373,student,Half strong great attorney them girl I compare.,675.8,96,95,107
374,last,Girl character face international describe bank.,625.39,42,143,124
375,factor,Research practice rich write woman gas student.,403.79,25,39,85
376,quickly,In road assume money specific daughter.,901.59,18,131,72
377,something,Already forget fine. Rich account tell gun free.,705.02,21,105,142
378,anyone,Person economic hope at view plant.,192.6,55,123,23
379,easy,Population trip mouth range school follow third.,554.59,6,108,28
380,seat,Relate care response degree rather.,791.28,80,79,21
381,set,Son lose black herself political imagine prevent.,802.67,25,160,182
382,own,Where least talk. Near charge century factor.,706.67,12,194,84
383,whose,Million issue every section.,312.33,23,126,97
384,little,Floor sport really partner glass state.,861.55,29,149,177
385,important,Think part explain part.,355.48,51,71,82
386,quality,Film else forward before recognize.,186.76,68,18,149
387,loss,War art difference without.,564.8,49,150,88
