club_id,club_name,club_description,club_location,club_membership_fee,club_membership_length,club_membership_count,team_id
1,The Nuggets Fan Club,club basketball team win win basketball player community community basketball player lose lose loyalty support community community fan fun team,Denver,95.49,Quarterly,120,42
2,The Wizards Fan Club,fun passion love passion love club love fan club team love loyalty win game love support loyalty basketball club game,Washington D.C.,97.59,Yearly,158,319
3,The Warriors Fan Club,cheer support game cheer fun community lose loyalty player win loyalty fan passion club game basketball club community love community,San Francisco,98.9,Yearly,668,113
4,The Knicks Fan Club,cheer club lose love game passion team win lose community community community fun support community fun club support basketball team,New York,20.7,Monthly,273,231
5,The Hawks Fan Club,game basketball lose fan cheer loyalty passion basketball team lose player club cheer basketball team club fun cheer team team,Atlanta,25.23,Yearly,66,133
6,The Hawks Fan Club,game lose loyalty passion game community loyalty player fun passion love team love club lose game cheer love cheer love,Atlanta,37.2,Monthly,835,247
7,The Warriors Fan Club,club team fan basketball basketball club game win love community player lose fun player win team fan passion loyalty player,San Francisco,58.89,Monthly,754,302
8,The Nuggets Fan Club,lose basketball lose lose cheer fan cheer loyalty player basketball lose player game support fan cheer lose love basketball passion,Denver,31.57,Yearly,584,8
9,The Lakers Fan Club,support lose player club basketball support community love basketball passion team community loyalty passion game passion loyalty club fan passion,Los Angeles,64.65,Yearly,636,240
10,The Hawks Fan Club,loyalty fan team game cheer club lose cheer loyalty club loyalty team basketball team support cheer community club club win,Atlanta,91.98,Yearly,443,308
11,The Suns Fan Club,lose club community cheer basketball win cheer fun player basketball cheer game passion fun loyalty lose win love lose fan,Phoenix,17.14,Monthly,114,312
12,The Clippers Fan Club,club basketball support passion game basketball passion club player fan support fun basketball team lose love community loyalty cheer passion,Los Angeles,84.23,Monthly,879,91
13,The Mavericks Fan Club,lose support fan support fun loyalty fun community game cheer game fan lose basketball passion win club fun game cheer,Dallas,27.0,Monthly,379,196
14,The Nuggets Fan Club,team fan love game game game player lose passion player game cheer club player fan player cheer community cheer community,Denver,62.4,Monthly,633,192
15,The Jazz Fan Club,community passion club team team community fun team loyalty lose passion community love club loyalty fun loyalty loyalty community fun,Salt Lake City,35.11,Monthly,445,301
16,The Wizards Fan Club,team fun game support win team community love team community passion game club player player support fun club cheer cheer,Washington D.C.,24.52,Quarterly,760,305
17,The Celtics Fan Club,win love love cheer team team passion cheer basketball club fun passion lose team community club game team love love,Boston,89.34,Yearly,565,386
18,The Raptors Fan Club,cheer team love team cheer player loyalty loyalty loyalty cheer team love win loyalty fun support fun lose player lose,Toronto,53.21,Yearly,882,380
19,The Clippers Fan Club,player game cheer passion basketball win fun lose community cheer player passion lose win basketball love club fun love community,Los Angeles,18.49,Yearly,847,381
20,The Clippers Fan Club,game lose basketball passion player lose basketball basketball game fan passion support basketball player love love team lose passion game,Los Angeles,77.79,Monthly,591,204
21,The Clippers Fan Club,passion player lose fun lose fan passion support lose support passion loyalty fun passion cheer community club player passion support,Los Angeles,49.28,Yearly,696,393
22,The Lakers Fan Club,lose team community support team win support basketball passion club loyalty loyalty player loyalty fan lose community win basketball game,Los Angeles,73.62,Monthly,614,58
23,The Rockets Fan Club,fan community lose club club player fun game club team fun basketball basketball lose support win passion player cheer lose,Houston,34.0,Quarterly,312,183
24,The Hawks Fan Club,fun support club player game passion player win lose fan fun cheer support cheer support lose club team basketball team,Atlanta,29.46,Quarterly,857,135
25,The Hornets Fan Club,win club player club cheer fan basketball lose support fun game love passion basketball win team club basketball team player,Charlotte,59.11,Quarterly,640,84
26,The Knicks Fan Club,loyalty player passion cheer passion loyalty love basketball support club support fan club fan fun loyalty passion basketball fan community,New York,18.88,Quarterly,928,81
27,The Warriors Fan Club,love fan love player fun game community win player fun player support love basketball passion lose win fan team team,San Francisco,31.8,Quarterly,462,234
28,The Rockets Fan Club,community cheer fan cheer cheer support player loyalty club loyalty club basketball community cheer team fun loyalty player loyalty team,Houston,32.63,Yearly,167,169
29,The Suns Fan Club,loyalty fun cheer fun club lose passion fun fun fan fan support cheer win win fun club cheer love player,Phoenix,62.92,Yearly,85,54
30,The 76ers Fan Club,lose club team player team player game lose loyalty fun basketball cheer community community fan club lose game basketball team,Philadelphia,84.0,Quarterly,551,157
31,The 76ers Fan Club,team passion community club game win win support team fan support club fan cheer basketball team club fan game fan,Philadelphia,49.13,Yearly,917,119
32,The Bucks Fan Club,loyalty basketball game club club game passion fun passion cheer lose support basketball team community support basketball loyalty loyalty fun,Milwaukee,29.4,Yearly,976,149
33,The Wizards Fan Club,team win loyalty lose basketball club support support lose love support club player game team game loyalty cheer game love,Washington D.C.,20.69,Yearly,201,258
34,The Raptors Fan Club,basketball club passion team fun love win fun basketball basketball support club club loyalty club lose basketball club fun team,Toronto,73.09,Monthly,988,180
35,The Clippers Fan Club,team fan cheer community game basketball win game love basketball passion fun fan team fan game win love fun team,Los Angeles,65.55,Monthly,614,268
36,The Bulls Fan Club,passion lose love win love loyalty loyalty team fan game fan support fun love game player love passion game lose,Chicago,12.9,Yearly,340,80
37,The Bucks Fan Club,love fun club fan fun fan community fun team cheer win basketball community loyalty win fan player basketball lose lose,Milwaukee,53.99,Monthly,701,387
38,The Wizards Fan Club,basketball community lose support community cheer fan cheer fan win support team game lose club lose support team fan team,Washington D.C.,20.29,Quarterly,323,258
39,The Celtics Fan Club,lose community win passion community game basketball win win support fun win love win basketball club lose win basketball love,Boston,62.18,Quarterly,186,248
40,The Nets Fan Club,loyalty fun player game fan passion support community love fan passion fan love club community community win loyalty fun fan,Brooklyn,20.21,Yearly,160,387
41,The Spurs Fan Club,fan player player loyalty passion community game fan basketball club love loyalty player love loyalty player cheer cheer player player,San Antonio,51.64,Quarterly,841,268
42,The Hornets Fan Club,fan game game support basketball basketball fun community fun fan fun basketball basketball win fan loyalty club player fan fan,Charlotte,47.62,Yearly,660,275
43,The Bulls Fan Club,cheer fun club support passion lose lose love support fun win fun loyalty game cheer community player passion passion player,Chicago,81.21,Quarterly,492,112
44,The Raptors Fan Club,lose fan loyalty fun basketball game fan loyalty love support fan club club game passion player support club loyalty team,Toronto,74.5,Monthly,801,193
45,The Warriors Fan Club,fun community lose cheer loyalty basketball community team fan game game community lose game community support support loyalty community game,San Francisco,40.08,Quarterly,60,280
46,The Wizards Fan Club,loyalty fun passion basketball lose love community support win fun basketball cheer game basketball loyalty fun love lose loyalty love,Washington D.C.,55.26,Monthly,89,243
